code,id,equipement_id,date,x,voie,horodatage,vitesse,longueur
M7i,6460,6460,2019-02-18 00:51:57.049,2820095043.0,0.0,2820.0,95.0,43.0
M7i,6460,6460,2019-02-18 00:52:08.548,13910104040.0,1.0,3910.0,104.0,40.0
M7i,6460,6460,2019-02-18 00:52:33.048,10418092038.0,1.0,418.0,92.0,38.0
M7i,6460,6460,2019-02-18 00:53:02.549,13209117041.0,1.0,3209.0,117.0,41.0
M7i,6460,6460,2019-02-18 00:53:44.548,11684116040.0,1.0,1684.0,116.0,40.0
M7i,6460,6460,2019-02-18 00:53:51.048,2344104039.0,0.0,2344.0,104.0,39.0
M7i,6460,6460,2019-02-18 00:54:08.549,3760096040.0,0.0,3760.0,96.0,40.0
M7i,6460,6460,2019-02-18 00:54:38.548,11042090036.0,1.0,1042.0,90.0,36.0
M7i,6460,6460,2019-02-18 00:55:03.049,13206083043.0,1.0,3206.0,83.0,43.0
M7i,6460,6460,2019-02-18 00:55:09.048,13978097039.0,1.0,3978.0,97.0,39.0
M7i,6460,6460,2019-02-18 00:55:39.049,11132094040.0,1.0,1132.0,94.0,40.0
M7i,6460,6460,2019-02-18 00:56:50.548,2028105041.0,0.0,2028.0,105.0,41.0
M7i,6460,6460,2019-02-18 00:57:03.048,3279111045.0,0.0,3279.0,111.0,45.0
M7i,6460,6460,2019-02-18 00:57:44.548,11317110042.0,1.0,1317.0,110.0,42.0
M7i,6460,6460,2019-02-18 00:57:50.548,12029140037.0,1.0,2029.0,140.0,37.0
M7i,6460,6460,2019-02-18 00:57:56.548,12557109043.0,1.0,2557.0,109.0,43.0
M7i,6460,6460,2019-02-18 00:58:03.049,3221087040.0,0.0,3221.0,87.0,40.0
M7i,6460,6460,2019-02-18 00:58:50.569,1872113048.0,0.0,1872.0,113.0,48.0
M7i,6460,6460,2019-02-18 00:58:57.049,12513096044.0,1.0,2513.0,96.0,44.0
M7i,6460,6460,2019-02-18 00:59:09.049,3977093044.0,0.0,3977.0,93.0,44.0
M7i,6460,6460,2019-02-18 00:59:15.048,14261105043.0,1.0,4261.0,105.0,43.0
M7i,6460,6460,2019-02-18 00:59:20.548,15062085156.0,1.0,5062.0,85.0,156.0
M7i,6460,6460,2019-02-18 00:59:26.548,15433108043.0,1.0,5433.0,108.0,43.0
M7i,6460,6460,2019-02-18 00:59:45.049,11593091034.0,1.0,1593.0,91.0,34.0
M7i,6460,6460,2019-02-18 00:59:51.049,2045093040.0,0.0,2045.0,93.0,40.0
M7i,6460,6460,2019-02-18 01:00:02.548,13282124042.0,1.0,3282.0,124.0,42.0
M7i,6460,6460,2019-02-18 01:00:08.548,13805113036.0,1.0,3805.0,113.0,36.0
M7i,6460,6460,2019-02-18 01:01:02.548,13065095045.0,1.0,3065.0,95.0,45.0
M7i,6460,6460,2019-02-18 01:02:02.549,3562104039.0,0.0,3562.0,104.0,39.0
M7i,6460,6460,2019-02-18 01:02:08.549,13697085165.0,1.0,3697.0,85.0,165.0
M7i,6460,6460,2019-02-18 01:02:20.548,15066100036.0,1.0,5066.0,100.0,36.0
M7i,6460,6460,2019-02-18 01:02:56.548,2456085041.0,0.0,2456.0,85.0,41.0
M7i,6460,6460,2019-02-18 01:03:26.548,15618093040.0,1.0,5618.0,93.0,40.0
M7i,6460,6460,2019-02-18 01:03:45.048,11261125044.0,1.0,1261.0,125.0,44.0
M7i,6460,6460,2019-02-18 01:04:08.548,13653088106.0,1.0,3653.0,88.0,106.0
M7i,6460,6460,2019-02-18 01:04:14.549,14426093038.0,1.0,4426.0,93.0,38.0
M7i,6460,6460,2019-02-18 01:04:21.048,5391100038.0,0.0,5391.0,100.0,38.0
M7i,6460,6460,2019-02-18 01:04:32.548,129092041.0,0.0,129.0,92.0,41.0
M7i,6460,6460,2019-02-18 01:05:02.548,13036125035.0,1.0,3036.0,125.0,35.0
M7i,6460,6460,2019-02-18 01:05:21.049,5238095040.0,0.0,5238.0,95.0,40.0
M7i,6460,6460,2019-02-18 01:05:51.048,1977068037.0,0.0,1977.0,68.0,37.0
M7i,6460,6460,2019-02-18 01:06:14.548,14608090039.0,1.0,4608.0,90.0,39.0
M7i,6460,6460,2019-02-18 01:07:15.049,14767138025.0,1.0,4767.0,138.0,25.0
M7i,6460,6460,2019-02-18 01:07:27.048,5658087041.0,0.0,5658.0,87.0,41.0
M7i,6460,6460,2019-02-18 01:08:02.549,3433101046.0,0.0,3433.0,101.0,46.0
M7i,6460,6460,2019-02-18 01:08:08.548,23687113035.0,2.0,3687.0,113.0,35.0
M7i,6460,6460,2019-02-18 01:08:20.548,5044090040.0,0.0,5044.0,90.0,40.0
M7i,6460,6460,2019-02-18 01:08:27.048,15730095045.0,1.0,5730.0,95.0,45.0
M7i,6460,6460,2019-02-18 01:08:32.548,277100039.0,0.0,277.0,100.0,39.0
M7i,6460,6460,2019-02-18 01:08:38.548,947106039.0,0.0,947.0,106.0,39.0
M7i,6460,6460,2019-02-18 01:08:50.548,2266108046.0,0.0,2266.0,108.0,46.0
M7i,6460,6460,2019-02-18 01:08:56.548,2442104038.0,0.0,2442.0,104.0,38.0
M7i,6460,6460,2019-02-18 01:09:03.048,3118106046.0,0.0,3118.0,106.0,46.0
M7i,6460,6460,2019-02-18 01:09:21.048,5013111047.0,0.0,5013.0,111.0,47.0
M7i,6460,6460,2019-02-18 01:09:32.548,335087041.0,0.0,335.0,87.0,41.0
M7i,6460,6460,2019-02-18 01:09:38.549,11118111035.0,1.0,1118.0,111.0,35.0
M7i,6460,6460,2019-02-18 01:09:57.048,22550130037.0,2.0,2550.0,130.0,37.0
M7i,6460,6460,2019-02-18 01:10:02.548,13045102036.0,1.0,3045.0,102.0,36.0
M7i,6460,6460,2019-02-18 01:10:27.048,5717114043.0,0.0,5717.0,114.0,43.0
M7i,6460,6460,2019-02-18 01:10:33.048,244108037.0,0.0,244.0,108.0,37.0
M7i,6460,6460,2019-02-18 01:10:44.548,11335097048.0,1.0,1335.0,97.0,48.0
M7i,6460,6460,2019-02-18 01:11:14.548,14340145042.0,1.0,4340.0,145.0,42.0
M7i,6460,6460,2019-02-18 01:11:20.548,14993104044.0,1.0,4993.0,104.0,44.0
M7i,6460,6460,2019-02-18 01:11:44.548,1245124041.0,0.0,1245.0,124.0,41.0
M7i,6460,6460,2019-02-18 01:11:57.048,2513104037.0,0.0,2513.0,104.0,37.0
M7i,6460,6460,2019-02-18 01:12:02.548,13121089038.0,1.0,3121.0,89.0,38.0
M7i,6460,6460,2019-02-18 01:12:44.577,11344090043.0,1.0,1344.0,90.0,43.0
M7i,6460,6460,2019-02-18 01:12:57.048,2860090046.0,0.0,2860.0,90.0,46.0
M7i,6460,6460,2019-02-18 01:13:14.548,4243085037.0,0.0,4243.0,85.0,37.0
M7i,6460,6460,2019-02-18 01:13:44.548,1279091168.0,0.0,1279.0,91.0,168.0
M7i,6460,6460,2019-02-18 01:14:32.548,430080038.0,0.0,430.0,80.0,38.0
M7i,6460,6460,2019-02-18 01:14:51.048,12143101039.0,1.0,2143.0,101.0,39.0
M7i,6460,6460,2019-02-18 01:15:02.548,13394087154.0,1.0,3394.0,87.0,154.0
M7i,6460,6460,2019-02-18 01:15:38.548,10740121038.0,1.0,740.0,121.0,38.0
M7i,6460,6460,2019-02-18 01:15:50.548,11908108039.0,1.0,1908.0,108.0,39.0
